exports,log_exports,Year,MSA,Per_Capita_Income,Population,Manufacturing_Employment,Top_Corporate_Income_Tax_Rate,FHFA_index,avg_weather,energy_consumption,Minimum_Wage,S&P500_Close
93931822.0,18.358079779206182,2023,"Abilene, TX",56034.0,181591.0,3.5,0.0,327.1925,65.675,5156.0,7.25,4845.65
3116905552.0,21.860106536342148,2023,"Akron, OH",62904.0,698398.0,37.8,0.0,232.26,51.958333333333336,5752.0,10.1,4845.65
3292878596.0,21.91502797236676,2023,"Albany-Schenectady-Troy, NY",71972.0,904682.0,28.0,0.065,293.24,51.400000000000006,6070.0,14.2,4845.65
698463725.0,20.364393802599785,2023,"Albany, OR",57016.0,131496.0,8.3,0.076,397.92,52.55,5225.0,14.2,4845.65
789436821.0,20.48683036439201,2023,"Albuquerque, NM",57278.0,922296.0,16.9,0.059,279.4625,58.48333333333332,5441.0,12.0,4845.65
4699600559.0,22.27074335460398,2023,"Allentown-Bethlehem-Easton, PA-NJ",66493.0,873555.0,41.2,0.0899,286.9275,51.95,5786.0,7.25,4845.65
204297892.0,19.135089741575047,2023,"Altoona, PA",57782.0,120273.0,7.0,0.0899,263.495,52.166666666666664,5688.0,7.25,4845.65
516519611.0,20.06262381482543,2023,"Amarillo, TX",60182.0,272395.0,13.8,0.0,286.42,61.34166666666666,5160.0,7.25,4845.65
1196165053.0,20.902386487133754,2023,"Ann Arbor, MI",77537.0,365536.0,12.5,0.06,294.3925,50.99166666666667,6218.0,10.1,4845.65
587081756.0,20.190674645777268,2023,"Anniston-Oxford, AL",44737.0,116429.0,6.8,0.065,261.25,63.625,4155.0,7.25,4845.65
1456166806.0,21.09907334471933,2023,"Appleton, WI",64216.0,246433.0,24.9,0.079,285.745,49.53333333333333,6817.0,7.25,4845.65
886594366.0,20.602898125641907,2023,"Asheville, NC",62050.0,480171.0,19.6,0.025,474.3075,55.76666666666667,4532.0,7.25,4845.65
32336369862.0,24.199458435629843,2023,"Atlanta-Sandy Springs-Roswell, GA",68027.0,6292404.0,180.6,0.0575,354.855,61.13333333333333,4088.0,7.25,4845.65
120005764.0,18.603050332926088,2023,"Atlantic City-Hammonton, NJ",60493.0,275213.0,3.6,0.09,343.4775,56.73333333333333,5018.0,14.13,4845.65
234006565.0,19.27085972848398,2023,"Auburn-Opelika, AL",48511.0,183215.0,7.5,0.065,299.505,63.89166666666667,4011.0,7.25,4845.65
1203726521.0,20.908688016005804,2023,"Augusta-Richmond County, GA-SC",52069.0,629429.0,24.5,0.0575,291.2775,65.9,3865.0,7.25,4845.65
17251453703.0,23.57116224951072,2023,"Austin-Round Rock-San Marcos, TX",80471.0,2473275.0,73.6,0.0,521.9075,72.64166666666667,4822.0,7.25,4845.65
3984718461.0,22.10573249700646,2023,"Bakersfield-Delano, CA",47350.0,913820.0,12.8,0.0884,335.115,57.45000000000001,4669.0,15.5,4845.65
10196211952.0,23.045282111004123,2023,"Baltimore-Columbia-Towson, MD",76923.0,2834316.0,58.7,0.0825,313.095,56.6,5029.0,13.25,4845.65
9254589465.0,22.948385423803252,2023,"Baton Rouge, LA",61972.0,873661.0,30.3,0.075,276.99499999999995,70.16666666666667,4463.0,7.25,4845.65
903766893.0,20.622082023378734,2023,"Battle Creek, MI",47947.0,133366.0,10.3,0.06,271.615,50.53333333333333,6354.0,10.1,4845.65
276575222.0,19.43799339256051,2023,"Bay City, MI",52579.0,102500.0,5.0,0.06,243.1125,49.61666666666667,6508.0,10.1,4845.65
27748448808.0,24.046445776765648,2023,"Beaumont-Port Arthur, TX",51459.0,395479.0,20.9,0.0,277.73249999999996,72.55833333333334,4625.0,7.25,4845.65
2845543331.0,21.76901986379522,2023,"Bellingham, WA",62095.0,231919.0,9.2,0.0,443.465,44.30833333333333,7651.0,15.74,4845.65
237184100.0,19.284347190800624,2023,"Bend, OR",81025.0,208513.0,8.3,0.076,542.44,46.14166666666666,7423.0,14.2,4845.65
319321100.0,19.581707737556183,2023,"Binghamton, NY",52659.0,243792.0,10.8,0.065,255.5225,47.99166666666667,6725.0,14.2,4845.65
2038918392.0,21.435685304196813,2023,"Birmingham, AL",66502.0,1119562.0,40.1,0.065,285.7075,62.600000000000016,4193.0,7.25,4845.65
84968053.0,18.25778589674756,2023,"Bismarck, ND",72043.0,135786.0,2.9,0.0431,366.6925,42.541666666666664,9284.0,7.25,4845.65
210147210.0,19.163318843096008,2023,"Bloomington, IL",61174.0,170441.0,10.4,0.095,213.2,54.32500000000001,5943.0,13.0,4845.65
1929671557.0,21.380615647661127,2023,"Bloomington, IN",56651.0,160874.0,11.6,0.049,310.585,56.09166666666667,5179.0,7.25,4845.65
1922586116.0,21.37693705209899,2023,"Boise City, ID",63689.0,824657.0,30.9,0.065,464.5499999999999,51.1,6778.0,7.25,4845.65
1213085453.0,20.916432912077457,2023,"Boulder, CO",100242.0,326831.0,21.3,0.044,463.135,45.13333333333333,7689.0,13.65,4845.65
760866696.0,20.44996873096819,2023,"Bowling Green, KY",47028.0,188840.0,14.5,0.05,283.42,58.64166666666667,4772.0,7.25,4845.65
74128808.0,18.12131478664391,2023,"Bremerton-Silverdale-Port Orchard, WA",73841.0,277658.0,2.7,0.0,421.3375,49.60833333333333,5881.0,15.74,4845.65
8012048221.0,22.804212273328975,2023,"Brownsville-Harlingen, TX",38523.0,426710.0,7.5,0.0,282.835,76.90833333333332,5198.0,7.25,4845.65
5557106977.0,22.438343481913677,2023,"Buffalo-Cheektowaga, NY",61106.0,1155604.0,54.3,0.065,299.295,49.25833333333333,6491.0,14.2,4845.65
281693308.0,19.45632947679588,2023,"Burlington, NC",51405.0,179165.0,8.8,0.025,273.2975,60.116666666666674,4331.0,7.25,4845.65
1329702658.0,21.00822118877207,2023,"Canton-Massillon, OH",56549.0,399474.0,25.5,0.0,244.115,52.35833333333333,5697.0,10.1,4845.65
935384469.0,20.656468199526177,2023,"Cape Coral-Fort Myers, FL",65878.0,834573.0,8.2,0.055,451.4225,76.84166666666668,4681.0,12.0,4845.65
188985500.0,19.0571808505041,2023,"Carson City, NV",63498.0,58036.0,2.7,0.0,362.03,49.42499999999999,6873.0,10.25,4845.65
106304882.0,18.481821768880348,2023,"Casper, WY",79846.0,79941.0,1.9,0.0,388.6625,45.31666666666666,7795.0,5.15,4845.65
1175382740.0,20.88485966767224,2023,"Cedar Rapids, IA",63448.0,275668.0,20.1,0.084,227.4775,51.44166666666666,6763.0,7.25,4845.65
590144385.0,20.195877785263885,2023,"Champaign-Urbana, IL",59680.0,222358.0,8.1,0.095,248.135,53.525,5977.0,13.0,4845.65
9497593903.0,22.97430433010537,2023,"Charleston-North Charleston, SC",68486.0,849417.0,33.0,0.05,544.46,66.35,3836.0,7.25,4845.65
479018467.0,19.987249707867942,2023,"Charleston, WV",56140.0,250458.0,3.3,0.065,213.6625,56.525,4897.0,8.75,4845.65
11470260682.0,23.163023495118008,2023,"Charlotte-Concord-Gastonia, NC-SC",69588.0,2805115.0,110.1,0.025,375.8275,62.15833333333334,4100.0,7.25,4845.65
156375800.0,18.867772642645537,2023,"Charlottesville, VA",90472.0,225127.0,4.3,0.06,366.625,57.88333333333333,4521.0,12.0,4845.65
2438709151.0,21.61473469978694,2023,"Chattanooga, TN-GA",58813.0,580971.0,40.1,0.065,373.2375,58.64166666666667,4465.0,7.25,4845.65
56078118.0,17.842256240926346,2023,"Cheyenne, WY",65150.0,100984.0,1.3,0.0,360.755,45.31666666666666,7795.0,5.15,4845.65
