Date,Price,Open,High,Low,Vol.,Change %
30-Jun-15,"2,103.84","2,067.00","2,132.82","2,044.02",,1.97%
31-May-15,"2,063.11","2,108.64","2,129.87","2,056.32",,-2.10%
30-Apr-15,"2,107.39","2,087.38","2,134.72","2,067.93",,1.05%
31-Mar-15,"2,085.51","2,067.63","2,125.92","2,048.38",,0.85%
28-Feb-15,"2,067.89","2,105.23","2,117.52","2,039.69",,-1.74%
31-Jan-15,"2,104.50","1,996.67","2,119.59","1,980.90",,5.49%
31-Dec-14,"1,994.99","2,058.90","2,072.36","1,988.12",,-3.10%
30-Nov-14,"2,058.90","2,065.78","2,093.55","1,972.56",,-0.42%
31-Oct-14,"2,067.56","2,018.21","2,075.76","2,001.01",,2.45%
30-Sep-14,"2,018.05","1,971.44","2,018.19","1,820.66",,2.32%
31-Aug-14,"1,972.29","2,004.07","2,019.26","1,964.04",,-1.55%
31-Jul-14,"2,003.37","1,929.80","2,005.04","1,904.78",,3.77%
30-Jun-14,"1,930.67","1,962.29","1,991.39","1,930.67",,-1.51%
31-May-14,"1,960.23","1,923.87","1,968.17","1,915.98",,1.91%
30-Apr-14,"1,923.57","1,884.39","1,924.03","1,859.79",,2.10%
31-Mar-14,"1,883.95","1,873.96","1,897.28","1,814.36",,0.62%
28-Feb-14,"1,872.34","1,857.68","1,883.97","1,834.44",,0.69%
31-Jan-14,"1,859.45","1,782.68","1,867.92","1,737.92",,4.31%
31-Dec-13,"1,782.60","1,845.90","1,850.80","1,770.50",,-3.56%
30-Nov-13,"1,848.40","1,806.50","1,849.40","1,768.00",,2.36%
31-Oct-13,"1,805.80","1,758.70","1,813.50","1,746.20",,2.81%
30-Sep-13,"1,756.50","1,682.40","1,775.20","1,646.50",,4.46%
31-Aug-13,"1,681.50","1,636.00","1,729.90","1,633.40",,2.97%
31-Jul-13,"1,633.00","1,689.40","1,709.70","1,627.50",,-3.13%
30-Jun-13,"1,685.70","1,609.80","1,698.80","1,604.60",,4.94%
31-May-13,"1,606.30","1,631.70","1,654.20","1,560.30",,-1.50%
30-Apr-13,"1,630.70","1,597.50","1,687.20","1,581.30",,2.07%
31-Mar-13,"1,597.60","1,569.20","1,597.60","1,536.00",,1.81%
28-Feb-13,"1,569.20","1,514.70","1,570.30","1,501.50",,3.60%
31-Jan-13,"1,514.70","1,498.10","1,530.90","1,485.00",,1.11%
31-Dec-12,"1,498.10","1,426.20","1,509.90","1,426.20",,5.04%
30-Nov-12,"1,426.20","1,416.30","1,448.00","1,398.10",,0.71%
31-Oct-12,"1,416.20","1,412.20","1,434.30","1,343.30",,0.28%
30-Sep-12,"1,412.20","1,440.90","1,471.00","1,403.30",,-1.98%
31-Aug-12,"1,440.70","1,406.50","1,474.50","1,396.60",,2.42%
31-Jul-12,"1,406.60","1,379.30","1,426.70","1,354.70",,1.98%
30-Jun-12,"1,379.30","1,362.30","1,391.70","1,325.40",,1.26%
31-May-12,"1,362.20","1,309.90","1,363.50","1,266.70",,3.96%
30-Apr-12,"1,310.30","1,397.90","1,415.30","1,292.00",,-6.27%
31-Mar-12,"1,397.90","1,408.50","1,422.40","1,357.40",,-0.75%
29-Feb-12,"1,408.50","1,365.90","1,419.20","1,340.00",,3.13%
31-Jan-12,"1,365.70","1,312.50","1,378.00","1,312.50",,4.06%
31-Dec-11,"1,312.40","1,258.90","1,333.50","1,258.90",,4.36%
30-Nov-11,"1,257.60","1,246.90","1,269.40","1,202.40",,0.85%
31-Oct-11,"1,247.00","1,251.00","1,277.50","1,158.70",,-0.50%
30-Sep-11,"1,253.30","1,131.20","1,292.70","1,074.80",,10.77%
31-Aug-11,"1,131.40","1,219.10","1,229.30","1,114.20",,-7.18%
31-Jul-11,"1,218.90","1,292.60","1,307.40","1,101.50",,-5.68%
30-Jun-11,"1,292.30","1,320.60","1,356.50","1,282.90",,-2.14%
31-May-11,"1,320.60","1,345.20","1,345.20","1,258.10",,-1.83%
30-Apr-11,"1,345.20","1,365.20","1,370.60","1,311.80",,-1.35%
31-Mar-11,"1,363.60","1,329.50","1,364.60","1,294.70",,2.85%
28-Feb-11,"1,325.80","1,328.60","1,332.30","1,249.00",,-0.11%
31-Jan-11,"1,327.20","1,289.10","1,344.10","1,289.10",,3.20%
31-Dec-10,"1,286.10","1,257.60","1,302.70","1,257.60",,2.27%
30-Nov-10,"1,257.60","1,186.60","1,262.60","1,186.60",,6.53%
31-Oct-10,"1,180.50","1,185.70","1,227.10","1,173.00",,-0.24%
30-Sep-10,"1,183.30","1,143.50","1,196.10","1,131.90",,3.69%
31-Aug-10,"1,141.20","1,049.70","1,157.20","1,049.70",,8.76%
31-Jul-10,"1,049.30","1,107.50","1,129.20","1,039.70",,-4.75%
30-Jun-10,"1,101.60","1,031.10","1,121.00","1,010.90",,6.88%
31-May-10,"1,030.70","1,087.30","1,131.20","1,028.30",,-5.39%
30-Apr-10,"1,089.40","1,188.60","1,205.10","1,040.80",,-8.20%
31-Mar-10,"1,186.70","1,171.20","1,219.80","1,170.70",,1.48%
28-Feb-10,"1,169.40","1,105.40","1,180.70","1,105.40",,5.88%
31-Jan-10,"1,104.50","1,073.90","1,112.40","1,044.50",,2.85%
31-Dec-09,"1,073.90","1,116.60","1,150.50","1,071.60",,-3.69%
30-Nov-09,"1,115.10","1,098.90","1,130.40","1,085.90",,1.78%
31-Oct-09,"1,095.60","1,036.20","1,113.70","1,029.40",,5.73%
30-Sep-09,"1,036.20","1,054.90","1,101.40","1,020.00",,-1.98%
31-Aug-09,"1,057.10","1,019.50","1,080.20",992,,3.58%
31-Jul-09,"1,020.60",990.2,"1,039.50",978.5,,3.35%
30-Jun-09,987.5,920.8,996.7,869.3,,7.42%
31-May-09,919.3,923.3,956.2,888.9,,0.02%
30-Apr-09,919.1,872.7,930.2,866.1,,5.30%
31-Mar-09,872.8,793.6,888.7,783.3,,9.39%
28-Feb-09,797.9,729.6,833,666.8,,8.54%
31-Jan-09,735.1,823.1,875,734.5,,-10.99%
31-Dec-08,825.9,903,943.9,804.3,,-8.56%
30-Nov-08,903.2,888.6,918.9,815.7,,0.78%
31-Oct-08,896.2,968.7,"1,007.50",741,,-7.49%
30-Sep-08,968.8,"1,164.20","1,167.00",839.8,,-16.94%
31-Aug-08,"1,166.40","1,287.80","1,303.00","1,106.40",,-9.07%
31-Jul-08,"1,282.80","1,269.40","1,313.20","1,247.50",,1.22%
30-Jun-08,"1,267.40","1,276.70","1,292.20","1,200.40",,-0.98%
31-May-08,"1,280.00","1,399.60","1,404.00","1,272.00",,-8.60%
30-Apr-08,"1,400.40","1,386.00","1,440.20","1,373.10",,1.07%
31-Mar-08,"1,385.60","1,326.40","1,404.60","1,324.30",,4.76%
29-Feb-08,"1,322.70","1,330.50","1,359.70","1,257.00",,-0.59%
31-Jan-08,"1,330.60","1,378.60","1,396.00","1,316.80",,-3.47%
31-Dec-07,"1,378.50","1,468.00","1,471.80","1,270.00",,-6.12%
30-Nov-07,"1,468.40","1,479.60","1,523.60","1,435.70",,-0.86%
31-Oct-07,"1,481.10","1,545.80","1,545.80","1,406.10",,-4.41%
30-Sep-07,"1,549.40","1,527.30","1,576.10","1,489.60",,1.48%
31-Aug-07,"1,526.80","1,474.00","1,538.70","1,439.30",,3.58%
31-Jul-07,"1,474.00","1,455.20","1,503.90","1,370.60",,1.28%
30-Jun-07,"1,455.30","1,504.70","1,555.90","1,454.20",,-3.19%
31-May-07,"1,503.30","1,530.60","1,540.60","1,484.20",,-1.78%
30-Apr-07,"1,530.60","1,482.40","1,535.60","1,476.70",,3.25%
31-Mar-07,"1,482.40","1,420.80","1,498.00","1,416.40",,4.33%
28-Feb-07,"1,420.90","1,406.80","1,438.90","1,364.00",,1.00%
31-Jan-07,"1,406.80","1,437.90","1,461.60","1,389.40",,-2.18%
31-Dec-06,"1,438.20","1,418.00","1,441.60","1,404.00",,1.40%
30-Nov-06,"1,418.30","1,400.60","1,431.80","1,385.90",,1.26%
31-Oct-06,"1,400.60","1,377.80","1,407.90","1,361.00",,1.65%
30-Sep-06,"1,377.90","1,335.80","1,389.50","1,327.10",,3.15%
31-Aug-06,"1,335.80","1,303.80","1,340.30","1,290.90",,2.45%
31-Jul-06,"1,303.80","1,278.50","1,306.70","1,261.30",,2.12%
30-Jun-06,"1,276.70","1,270.10","1,280.40","1,224.50",,0.51%
31-May-06,"1,270.20","1,270.00","1,290.70","1,219.30",,0.01%
30-Apr-06,"1,270.10","1,310.60","1,326.70","1,245.30",,-3.09%
31-Mar-06,"1,310.60","1,302.90","1,318.20","1,280.70",,1.22%
28-Feb-06,"1,294.80","1,280.70","1,310.90","1,268.40",,1.10%
31-Jan-06,"1,280.70","1,280.10","1,297.60","1,253.60",,0.05%
31-Dec-05,"1,280.10","1,248.30","1,294.90","1,245.70",,2.55%
30-Nov-05,"1,248.30","1,249.50","1,275.80","1,246.60",,-0.10%
31-Oct-05,"1,249.50","1,207.00","1,270.60","1,201.10",,3.52%
30-Sep-05,"1,207.00","1,228.80","1,233.30","1,168.20",,-1.77%
31-Aug-05,"1,228.80","1,220.30","1,243.10","1,205.30",,0.70%
31-Jul-05,"1,220.30","1,234.20","1,245.90","1,201.10",,-1.13%
30-Jun-05,"1,234.20","1,191.30","1,245.20","1,183.50",,3.60%
31-May-05,"1,191.30","1,191.50","1,219.60","1,188.30",,-0.02%
30-Apr-05,"1,191.50","1,156.80","1,199.60","1,146.20",,3.00%
31-Mar-05,"1,156.80","1,180.60","1,191.90","1,136.20",,-2.02%
28-Feb-05,"1,180.60","1,203.60","1,229.10","1,163.70",,-1.91%
31-Jan-05,"1,203.60","1,181.30","1,212.40","1,181.00",,1.89%
31-Dec-04,"1,181.30","1,211.90","1,217.90","1,163.80",,-2.52%
